Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00   1250.30     0.00        5     0.00     0.00  fil_int_lst
  0.00   1250.30     0.00        5     0.00     0.00  fmemreq_
  0.00   1250.30     0.00        5     0.00     0.00  geom_compute_values_
  0.00   1250.30     0.00        5     0.00     0.00  gshellsort_
  0.00   1250.30     0.00        5     0.00     0.00  hdbm_clear
  0.00   1250.30     0.00        5     0.00     0.00  hdbm_close
  0.00   1250.30     0.00        5     0.00     0.00  hdbm_open
  0.00   1250.30     0.00        5     0.00     0.00  int_nbf_max_
  0.00   1250.30     0.00        5     0.00     0.00  mapdif1_
  0.00   1250.30     0.00        5     0.00     0.00  mem_cpy
  0.00   1250.30     0.00        5     0.00     0.00  menode_
  0.00   1250.30     0.00        5     0.00     0.00  mgscs
  0.00   1250.30     0.00        5     0.00     0.00  mxm25
  0.00   1250.30     0.00        5     0.00     0.00  pdspev
  0.00   1250.30     0.00        5     0.00     0.00  pdspev_
  0.00   1250.30     0.00        5     0.00     0.00  pdspevx
  0.00   1250.30     0.00        5     0.00     0.00  peigs_tldlfact
  0.00   1250.30     0.00        5     0.00     0.00  pstebz10_
  0.00   1250.30     0.00        5     0.00     0.00  pstein4
  0.00   1250.30     0.00        5     0.00     0.00  pstein5
  0.00   1250.30     0.00        5     0.00     0.00  sorteig
  0.00   1250.30     0.00        5     0.00     0.00  tred2
  0.00   1250.30     0.00        4     0.00     0.00  bas_create_
  0.00   1250.30     0.00        4     0.00     0.00  bas_do_destroy_
  0.00   1250.30     0.00        4     0.00     0.00  bas_get_so_handle_
  0.00   1250.30     0.00        4     0.00     0.00  context_rtdb_match
  0.00   1250.30     0.00        4     0.00     0.00  context_rtdb_match_
  0.00   1250.30     0.00        4     0.00     0.00  fortchar_to_string
  0.00   1250.30     0.00        4     0.00     0.00  ga_orthog_
  0.00   1250.30     0.00        4     0.00     0.00  ga_orthog_vecs_
  0.00   1250.30     0.00        4     0.00     0.00  geom_rtdb_in_
  0.00   1250.30     0.00        4     0.00     0.00  util_nwchem_srcdir_
  0.00   1250.30     0.00        3     0.00     0.00  bas_add_ucnt_init_
  0.00   1250.30     0.00        3     0.00     0.00  bas_add_ucnt_tidy_
  0.00   1250.30     0.00        3     0.00     0.00  bas_input_
  0.00   1250.30     0.00        3     0.00     0.00  bas_input_cont_
  0.00   1250.30     0.00        3     0.00     0.00  bas_library_file_
  0.00   1250.30     0.00        3     0.00     0.00  bas_rtdb_add_
  0.00   1250.30     0.00        3     0.00     0.00  bas_rtdb_do_store_
  0.00   1250.30     0.00        3     0.00     0.00  bas_rtdb_out_
  0.00   1250.30     0.00        3     0.00     0.00  bas_rtdb_store_
  0.00   1250.30     0.00        3     0.00     0.00  bas_set_library_name_
  0.00   1250.30     0.00        3     0.00     0.00  bas_set_spherical_
  0.00   1250.30     0.00        3     0.00     0.00  ga_get2eri_
  0.00   1250.30     0.00        3     0.00     0.00  ga_orthog_mos_
  0.00   1250.30     0.00        3     0.00     0.00  geom_create_
  0.00   1250.30     0.00        3     0.00     0.00  geom_destroy_
  0.00   1250.30     0.00        3     0.00     0.00  geom_get_user_scale_
  0.00   1250.30     0.00        3     0.00     0.00  geom_systype_get_
  0.00   1250.30     0.00        3     0.00     0.00  int_mem_1e_
  0.00   1250.30     0.00        3     0.00     0.00  int_mem_zero_
  0.00   1250.30     0.00        3     0.00     0.00  rohf_canon_
  0.00   1250.30     0.00        3     0.00     0.00  rohf_canon_subspace_
  0.00   1250.30     0.00        3     0.00     0.00  rohf_get_fock_
  0.00   1250.30     0.00        3     0.00     0.04  rohf_hessv_2e_
  0.00   1250.30     0.00        3     0.00     0.00  rtdb_delete
  0.00   1250.30     0.00        3     0.00     0.00  rtdb_delete_
  0.00   1250.30     0.00        3     0.00     0.00  rtdb_seq_delete
  0.00   1250.30     0.00        3     0.00     0.00  util_char_ga_brdcst_
  0.00   1250.30     0.00        3     0.00     0.00  util_find_dir_
